年,月,日,時,緯度,経度,中心気圧 (hPa),最大風速 (kt),階級,画像,天気図,警報
1964,9,17,3,11.7,149.3,1008,0,2,--,天気図,--
1964,9,17,9,12.6,148.5,1010,0,2,--,天気図,--
1964,9,17,15,13.3,147.8,1008,0,2,--,天気図,--
1964,9,17,21,14.0,147.1,1010,0,2,--,天気図,--
1964,9,18,3,14.9,146.7,1008,0,2,--,天気図,--
1964,9,18,9,15.5,146.0,1008,0,2,--,天気図,--
1964,9,18,15,16.0,145.1,1006,0,2,--,天気図,--
1964,9,18,21,16.5,144.5,1006,0,2,--,天気図,--
1964,9,19,3,17.0,144.1,1006,0,2,--,天気図,--
1964,9,19,9,17.6,144.0,1002,0,2,--,天気図,--
1964,9,19,15,18.4,143.4,998,0,9,--,天気図,--
1964,9,19,21,18.9,142.6,990,0,9,--,天気図,--
1964,9,20,3,19.4,142.2,985,0,9,--,天気図,--
1964,9,20,9,19.6,141.6,975,0,9,--,天気図,--
1964,9,20,15,20.0,140.8,960,0,9,--,天気図,--
1964,9,20,21,20.1,140.2,940,0,9,--,天気図,--
1964,9,21,3,20.2,139.6,920,0,9,--,天気図,--
1964,9,21,9,20.6,138.8,900,0,9,--,天気図,--
1964,9,21,15,21.2,137.9,895,0,9,--,天気図,--
1964,9,21,21,21.9,137.0,895,0,9,--,天気図,--
1964,9,22,3,22.5,136.1,895,0,9,--,天気図,--
1964,9,22,9,23.4,135.1,920,0,9,--,天気図,--
1964,9,22,15,24.2,134.5,920,0,9,--,天気図,--
1964,9,22,21,25.0,133.4,920,0,9,--,天気図,--
1964,9,23,3,25.5,132.5,920,0,9,--,天気図,--
1964,9,23,9,26.1,131.5,930,0,9,--,天気図,--
1964,9,23,15,26.9,131.0,930,0,9,--,天気図,--
1964,9,23,21,27.6,130.8,930,0,9,--,天気図,--
1964,9,24,3,28.4,130.4,930,0,9,--,天気図,--
1964,9,24,9,29.5,130.1,930,0,9,--,天気図,--
1964,9,24,15,30.9,130.2,940,0,9,--,天気図,--
1964,9,24,21,32.1,131.5,950,0,9,--,天気図,--
1964,9,25,3,34.0,133.5,960,0,9,--,天気図,--
1964,9,25,9,36.4,136.4,980,0,9,--,天気図,--
1964,9,25,15,39.0,141.7,980,0,9,--,天気図,--
1964,9,25,21,42.2,148.0,984,0,9,--,天気図,--
1964,9,26,3,45.0,155.0,984,0,6,--,天気図,--
1964,9,26,9,47.0,162.0,978,0,6,--,天気図,--
1964,9,26,15,48.3,166.0,968,0,6,--,天気図,--
1964,9,26,21,49.4,172.0,966,0,6,--,天気図,--
1964,9,27,3,51.0,177.5,970,0,6,--,天気図,--
1964,9,27,9,52.0,182.0,970,0,6,--,天気図,--
