"00122700","148.5","23.4","129.5","75","73"
"01010100","148.5","23.4","129.5","75","73"
"01010103","148.5","23.4","129.5","75","73"
"01010106","148.8","24.2","127.5","75","73"
"01010113","149.3","25.1","125.25","75","73"
"01010117","149.7","25.4","124.5","75","73"
"01010316","149.8","31.1","110.25","75","73"
"01010511","149.3","32.8","106","75","73"
"01010702","147.7","33.9","103.25","75","73"
"01010815","145.5","34.5","98","75","73"
"01011002","143.7","34.4","99","75","73"
"01011201","142.9","34.3","100","75","73"
"01011400","142.6","34.9","94","75","73"
"01011400","142.4","35.7","86","75","73"
"01011601","142.4","36.6","77","75","73"
"01011720","142.2","37.8","65","75","73"
"01011919","141.7","38.2","63","75","73"
"01012114","141.4","39.2","63","75","73"
"01012304","139.8","40.4","63","75","73"
"01012419","138.1","40.6","63","75","73"
"01012608","137.6","40.7","63","75","73"
"01012721","136.9","40.7","63","75","73"
"01012914","136.6","40.7","63","75","73"
"01013103","136.3","40.8","63","75","73"
"01020116","136.2","40.8","63","75","73"
"01020305","135.9","40.8","63","75","73"
"01020418","135.7","40.8","63","75","73"
"01020607","135.4","40.8","63","75","73"
"01020715","135.2","40.8","63","75","73"
"01020906","135","40.7","63","75","73"
"01020906","133.9","40.9","63","75","73"
